geoNameId	name	featureCode	countryCode	adminCode1	adminCode2	timeZoneId	latitude	longitude	iata	icao	cityId	cityName	isActive
4601041	Wild Irish Rose Airport	AIRP	US	SC	025	America/New_York	34.61793	-80.15173	null	null	4574434	Cheraw	1
4601151	Williamsburg County Airport	AIRP	US	SC	089	America/New_York	33.71655	-79.85618	null	null	4572332	Brockington	1
4601592	Woodward Field	AIRP	US	SC	055	America/New_York	34.28348	-80.56508	CDN	KCDN	4573209	Camden	1
4601701	Yonges Island Airport	AIRP	US	SC	019	America/New_York	32.6974	-80.22593	null	null	4574324	Charleston	1
4601704	York Airport	AIRP	US	SC	091	America/New_York	35.03208	-81.25118	null	null	4601703	York	1
4601931	Abernathy Field Airport	AIRP	US	TN	055	America/Chicago	35.15062	-87.05316	null	KGZS	4651648	Pulaski	1
4602525	Amacher Strip Airport	AIRP	US	TN	051	America/Chicago	35.30564	-86.23666	null	null	4663494	Tullahoma	1
4602593	Anderson Airport	AIRP	US	TN	069	America/Chicago	35.40532	-89.02163	null	null	4663017	Toone	1
4602594	Anderson Airport	AIRP	US	TN	187	America/Chicago	36.03895	-86.84583	null	null	4635791	Laurel Wood Estates	1
4602694	Anderson-Tully County Airport	AIRP	US	TN	157	America/Chicago	35.17537	-90.04454	null	null	4626381	Greenlaw	1
4602928	Appalachian Flying Service Number One Airport	AIRP	US	TN	179	America/New_York	36.17733	-82.33319	null	null	4663928	Unicoi	1
4603010	Arlington Municipal Airport	AIRQ	US	TN	157	America/Chicago	35.28286	-89.67286	null	KLHC	4603001	Arlington	0
4603066	Arnold Air Force Base	AIRP	US	TN	031	America/Chicago	35.39871	-86.0785	null	KAYX	4618391	Dixie (historical)	1
4603091	Arnold Field Airport	AIRP	US	TN	097	America/Chicago	35.90678	-89.39755	null	null	4627194	Halls	1
4603941	Baptist Hospital Airport	AIRP	US	TN	157	America/Chicago	35.13898	-90.03092	null	null	4618393	Dixie Homes	1
4604141	Barret Airport	AIRP	US	TN	157	America/Chicago	35.37508	-89.76675	null	null	4604154	Barretville	1
4605584	Benton County Airport	AIRP	US	TN	005	America/Chicago	36.01192	-88.12447	null	null	4610643	Camden	1
4607609	William L. Whitehurst Field Airport	AIRP	US	TN	069	America/Chicago	35.21317	-89.04233	null	null	4660679	Sugar Hill	1
4607633	Bomar Field-Shelbyville Municipal Airport	AIRP	US	TN	003	America/Chicago	35.56168	-86.44477	null	null	4617643	Deason	1
4608856	Browder Airport	AIRP	US	TN	139	America/New_York	35.01535	-84.73188	null	null	4614950	Conasauga	1
4608863	Browder Landing Strip	AIRP	US	TN	139	America/New_York	35.01619	-84.73161	null	null	4614950	Conasauga	1
4609051	Browne Airport	AIRP	US	TN	141	America/Chicago	36.16562	-85.49748	null	null	4615145	Cookeville	1
4610137	Bush Brothers Strip Airport	AIRP	US	TN	059	America/New_York	36.16843	-83.15516	null	null	4616125	Creek Store	1
4610642	Cambron Field	AIRP	US	TN	037	America/Chicago	36.03339	-86.96667	null	null	4648243	Pasquo	1
4610848	Campbell County Airport	AIRP	US	TN	013	America/New_York	36.33645	-84.16193	null	KJAU	4632591	Jacksboro	1
4611219	Cantwell Airport	AIRP	US	TN	067	America/New_York	36.50127	-83.25334	null	null	4619383	Duck Creek	1
4611318	Carey Airport	AIRP	US	TN	035	America/Chicago	36.06705	-85.12187	null	null	4640142	Mayland	1
4611790	Cates Airport	AIRP	US	TN	167	America/Chicago	35.50008	-89.73341	null	null	4608616	Brighton	1
4612472	Centerville Municipal Airport	AIRP	US	TN	081	America/Chicago	35.83603	-87.44496	GHM	KGHM	4612465	Centerville	1
4612804	Charles W. Baker Airport	AIRP	US	TN	157	America/Chicago	35.27811	-89.9336	null	null	4638618	Lucy	1
4613244	Chickamauga Reservoir Airport	AIRP	US	TN	065	America/New_York	35.30007	-85.08329	null	null	4656666	Shady Acres	1
4613315	Chilhowee Airport	AIRP	US	TN	139	America/New_York	35.22646	-84.58493	null	null	4614878	Columbus (historical)	1
4614211	Clinical Laboratories Airport	AIRP	US	TN	037	America/Chicago	36.15228	-86.81583	null	null	4612964	Cherokee Park	1
4614225	Clinton Landing Field (historical)	AIRQ	US	TN	001	America/New_York	36.09425	-84.11214	null	null	4614214	Clinton	0
4614723	Collegedale Municipal Airport	AIRP	US	TN	065	America/New_York	35.04115	-85.02311	null	KFGU	4614720	Collegedale	1
4614858	Colony Park Airport	AIRP	US	TN	093	America/New_York	35.9498	-83.99074	null	null	4641504	Middlebrook Heights	1
4615307	Cooper Landing Strip	AIRP	US	TN	059	America/New_York	36.1751	-83.16377	null	null	4616125	Creek Store	1
4615521	Cornelia Fort Airpark	AIRP	US	TN	037	America/Chicago	36.19052	-86.70307	null	null	4644585	Nashville	1
4615825	Covington Municipal Airport	AIRP	US	TN	167	America/Chicago	35.58836	-89.58463	null	null	4615804	Covington	1
4616476	Crossville Memorial Airport	AIRP	US	TN	035	America/Chicago	35.95118	-85.08496	CSV	KCSV	4631034	Howard Springs	1
4617041	Dallas Bay Sky Park Airport	AIRP	US	TN	065	America/New_York	35.18752	-85.1774	null	null	4612862	Chattanooga	1
4617685	Decker Farm Airport	AIRP	US	TN	179	America/New_York	36.20011	-82.4832	null	null	4634005	Kansas City	1
4618083	Dickson Municipal Airport	AIRP	US	TN	043	America/Chicago	36.12912	-87.43209	null	null	4618057	Dickson	1
4618771	Wings Field Airport	AIRP	US	TN	069	America/Chicago	35.21934	-89.19006	null	null	4645511	Newcastle	1
4619807	Dyersburg Municipal Airport	AIRP	US	TN	045	America/Chicago	36.00424	-89.40424	null	KDYR	4658872	South Dyersburg	1
