dep_city^distance^page_rank^dist_weighted_by_page_rank
KNB- A^    36^0.00000000000000000000^       0
KZF-CA^    36^0.00000000000000000000^       0
DER-CA^    35^0.00000000000000000000^       0
GLY-CA^    35^0.00000000000000000000^       0
IDN-CA^    35^0.00000000000000000000^       0
IRO- A^    35^0.00000000000000000000^       0
MXK-CA^    35^0.00000000000000000000^       0
KSS-CA^    34^0.00000000000000000000^       0
AVF- O^    33^0.00000000000000000000^       0
CMS-CA^    33^0.00000000000000000000^       0
GZA-CA^    33^0.00000000000000000000^       0
KSP-CA^    33^0.00000000000000000000^       0
BHG- A^    32^0.00000000000000000000^       0
GCJ- A^    32^0.00000000000000000000^       0
TIE- A^    32^0.00000000000000000000^       0
CPL- A^    31^0.00000000000000000000^       0
EIA-CA^    31^0.00000000000000000000^       0
EMS-CA^    31^0.00000000000000000000^       0
GTT- A^    31^0.00000000000000000000^       0
MVS-CA^    31^0.00000000000000000000^       0
NOI-CA^    31^0.00000000000000000000^       0
KKP-CA^    29^0.00000000000000000000^       0
BSP-CA^    28^0.00000000000000000000^       0
KOX-CA^    28^0.00000000000000000000^       0
QJW-CB^    28^0.00000000000000000000^       0
ULL-CA^    28^0.00000000000000000000^       0
GWA- A^    27^0.00000000000000000000^       0
MFB-CA^    27^0.00000000000000000000^       0
NAI- A^    27^0.00000000000000000000^       0
CRE- A^    26^0.00000000000000000000^       0
MBB- A^    26^0.00000000000000000000^       0
OAR- A^    26^0.00000000000000000000^       0
ZDX-CR^    26^0.00000000000000000000^       0
ARL- A^    25^0.00000000000000000000^       0
BCR-CA^    25^0.00000000000000000000^       0
DMO- A^    25^0.00000000000000000000^       0
KDN-CA^    25^0.00000000000000000000^       0
TLB- A^    25^0.00000000000000000000^       0
AKA- A^    24^0.00000000000000000000^       0
HSC- A^    24^0.00000000000000000000^       0
CBU- A^    23^0.00000000000000000000^       0
PIQ-CA^    23^0.00000000000000000000^       0
PMT-CA^    23^0.00000000000000000000^       0
CRY-CA^    22^0.00000000000000000000^       0
EKE-CA^    22^0.00000000000000000000^       0
NFG- A^    22^0.00000000000000000000^       0
RLA- A^    22^0.00000000000000000000^       0
BWH- A^    21^0.00000000000000000000^       0
KGR-CA^    21^0.00000000000000000000^       0
LFO-CA^    21^0.00000000000000000000^       0
LMY- A^    21^0.00000000000000000000^       0
MLR- A^    21^0.00000000000000000000^       0
WSP- A^    21^0.00000000000000000000^       0
YLX- C^    21^0.00000000000000000000^       0
BAN- A^    20^0.00000000000000000000^       0
FAM- A^    20^0.00000000000000000000^       0
FOU- A^    20^0.00000000000000000000^       0
GUX- A^    20^0.00000000000000000000^       0
LXV- A^    20^0.00000000000000000000^       0
MGX- A^    20^0.00000000000000000000^       0
RZN-CA^    20^0.00000000000000000000^       0
SSK-CA^    20^0.00000000000000000000^       0
TAA-CA^    20^0.00000000000000000000^       0
TPR- A^    20^0.00000000000000000000^       0
UTB- A^    20^0.00000000000000000000^       0
BII-CA^    19^0.00000000000000000000^       0
GDD-CA^    19^0.00000000000000000000^       0
GVN-CA^    19^0.00000000000000000000^       0
ILK- A^    19^0.00000000000000000000^       0
JUT-CA^    19^0.00000000000000000000^       0
MRF- A^    19^0.00000000000000000000^       0
NTO-CA^    19^0.00000000000000000000^       0
QKT-CA^    19^0.00000000000000000000^       0
QND- A^    19^0.00000000000000000000^       0
RUE- A^    19^0.00000000000000000000^       0
SZS-CA^    19^0.00000000000000000000^       0
BNM-CA^    18^0.00000000000000000000^       0
GEB-CA^    18^0.00000000000000000000^       0
LES- A^    18^0.00000000000000000000^       0
NLL- A^    18^0.00000000000000000000^       0
OXC- A^    18^0.00000000000000000000^       0
QHV- A^    18^0.00000000000000000000^       0
UJE-CA^    18^0.00000000000000000000^       0
XTO- A^    18^0.00000000000000000000^       0
YMV-CA^    18^0.00000000000000000000^       0
AUD-CA^    17^0.00000000000000000000^       0
CBY-CA^    17^0.00000000000000000000^       0
LBW- A^    17^0.00000000000000000000^       0
OVL- A^    17^0.00000000000000000000^       0
TBC- A^    17^0.00000000000000000000^       0
VAT- A^    17^0.00000000000000000000^       0
ASN- A^    16^0.00000000000000000000^       0
BIZ-CA^    16^0.00000000000000000000^       0
BMS- A^    16^0.00000000000000000000^       0
BPB-CA^    16^0.00000000000000000000^       0
CFI-CA^    16^0.00000000000000000000^       0
GUF- A^    16^0.00000000000000000000^       0
INM- A^    16^0.00000000000000000000^       0
ISH-CA^    16^0.00000000000000000000^       0
MLD-CA^    16^0.00000000000000000000^       0
MZX-CA^    16^0.00000000000000000000^       0
ONE-CA^    16^0.00000000000000000000^       0
XMG- C^    16^0.00000000000000000000^       0
ZQF-CR^    16^0.00000000000000000000^       0
AOP- C^    15^0.00000000000000000000^       0
BZY-CA^    15^0.00000000000000000000^       0
CIM- A^    15^0.00000000000000000000^       0
DUG- C^    15^0.00000000000000000000^       0
KIZ-CA^    15^0.00000000000000000000^       0
KML-CA^    15^0.00000000000000000000^       0
MQE-CA^    15^0.00000000000000000000^       0
NDI-CA^    15^0.00000000000000000000^       0
SRB- A^    15^0.00000000000000000000^       0
UOS- A^    15^0.00000000000000000000^       0
AXC- A^    14^0.00000000000000000000^       0
BIT-CA^    14^0.00000000000000000000^       0
FFL- A^    14^0.00000000000000000000^       0
KCS-CA^    14^0.00000000000000000000^       0
LBM-CA^    14^0.00000000000000000000^       0
LEF-CA^    14^0.00000000000000000000^       0
LEG-CA^    14^0.00000000000000000000^       0
LIB-CA^    14^0.00000000000000000000^       0
LRB- A^    14^0.00000000000000000000^       0
MYM- A^    14^0.00000000000000000000^       0
NPT- A^    14^0.00000000000000000000^       0
OBN- A^    14^0.00000000000000000000^       0
PGS- A^    14^0.00000000000000000000^       0
QCI- O^    14^0.00000000000000000000^       0
RBS- A^    14^0.00000000000000000000^       0
TNP- A^    14^0.00000000000000000000^       0
UCK-CA^    14^0.00000000000000000000^       0
UMI-CA^    14^0.00000000000000000000^       0
UTG- A^    14^0.00000000000000000000^       0
WRW-CA^    14^0.00000000000000000000^       0
AXV- A^    13^0.00000000000000000000^       0
BJN-CA^    13^0.00000000000000000000^       0
BJY- A^    13^0.00000000000000000000^       0
CMM- A^    13^0.00000000000000000000^       0
CNW- A^    13^0.00000000000000000000^       0
DRN- A^    13^0.00000000000000000000^       0
FMH-CA^    13^0.00000000000000000000^       0
JKV- A^    13^0.00000000000000000000^       0
KXE- A^    13^0.00000000000000000000^       0
LIY-CA^    13^0.00000000000000000000^       0
MHO-CA^    13^0.00000000000000000000^       0
OMG-CA^    13^0.00000000000000000000^       0
