pk^2char_code^name^website
air-aztec-worldwide-airlines-v1^AJ^Aztec Worldwide Airlines^
air-azul-v1^AD^Azul Brazilian Airlines^http://www.voeazul.com.br/en/home
air-ba-cityflyer-v1^CJ^BA CityFlyer^http://www.britishairways.com
air-bahamasair-v1^UP^Bahamasair^
air-bahrain-air-v1^BN^Bahrain Air^
air-bangkok-airways-v1^PG^Bangkok Airways^http://www.bangkokair.com/
air-bassaka-air-v1^5B^Bassaka Air^http://www.bassakaair.com
air-batik-air-indonesia-v1^ID^Batik Air^http://www.batikair.com
air-bb-airways-v1^BO^BB Airways^http://www.bbairways.com/
air-bearskin-airlines-v1^JV^Bearskin Airlines^http://www.bearskinairlines.com
air-bek-air-v1^Z9^Jsc Bek Air^
air-belair-airlines-v1^4T^Belair Airlines^
air-belavia-v1^B2^Belavia^http://belavia.by
air-belle-air-europe-v1^L9^Belle Air Europe^
air-bemidji-airlines-v1^CH^Bemidji Airlines^
air-bering-air-v1^8E^Bering Air^http://www.beringair.com
air-berjaya-air-v1^J8^Berjaya Air^http://www.berjaya-air.com/
air-bh-air-v1^8H^BH Air^http://www.bhairlines.com/
air-biman-bangladesh-airline-v1^BG^Biman Bangladesh Airline^http://www.biman-airlines.com
air-binter-canarias-v1^NT^Binter Canarias^http://www.bintercanarias.com/
air-blue1-v1^KF^Blue1^
air-blue-air-airline-v1^0B^Blue Air^http://www.blueairweb.com/
air-bluebird-airways-v1^BZ^Bluebird Airways^http://www.bluebirdair.gr
air-bluebird-cargo-v1^BF^Bluebird Cargo^http://www.bluebird.is/
air-blue-islands-v1^SI^Blue Islands^http://www.blueislands.com
air-blue-panorama-airlines-v1^BV^Blue Panorama Airlines^
air-bmi-regional-v1^BM^bmi regional^http://www.flybmi.com
air-boliviana-de-aviacion-v1^OB^Boliviana de Aviación (BoA)^http://www.boa.bo/
air-boutique-air-v1^4B^Boutique Air^http://www.boutiqueair.com/
air-bqb-v1^5Q^BQB Líneas Aéreas^http://www.flybqb.com/
air-braathens-regional-airways-v1^DC^Braathens Regional^http://www.flygbra.se
air-branson-air-express-v1^1X^Branson Air Express^http://www.bransonairexpress.com
air-bringer-air-cargo-v1^E6^Bringer Air Cargo^
air-british-airways-v1^BA^British Airways^http://britishairways.com
air-brussels-airlines-v1^SN^Brussels Airlines^http://brusselsairlines.com
air-buddha-air-v1^U4^Buddha Air^http://www.buddhaair.com
air-bulgaria-air-v1^FB^Bulgaria Air^
air-bulgarian-air-charter-v1^H6^Bulgarian Air Charter^http://www.bgaircharter.com/index.php?page=20
air-buraq-air-v1^UZ^Buraq Air^http://www.buraq.aero/
air-business-aviation-centre-v1^UQ^Business Aviation Centre^
air-caicos-express-airways-v1^9Q^Caicos Express Airways^http://caicosexpress.com/
air-calm-air-v1^MO^Calm Air International^
air-camair-v1^QC^Camair-Co^http://www.camair-co.cm/en
air-cambodia-angkor-air-v1^K6^Cambodia Angkor Air^http://www.cambodiaangkorair.com
air-cambodia-bayon-v1^BD^Cambodia Bayon Airlines^http://www.bayonairlines.com
air-canadian-north-v1^5T^Canadian North^http://www.canadiannorth.com
air-canary-fly-v1^PM^Canaryfly^http://www.canaryfly.es/
air-canjet-airlines-v1^C6^Canjet Airlines^
air-cape-air-v1^9K^Cape Air^http://capeair.com
air-cargologicair-v1^P3^CargoLogicAir^http://www.cargologicair.com
air-cargolux-v1^CV^Cargolux^http://www.cargolux.com
air-carib-aviation-v1^3Q^Carib Aviation Limited^
air-caribbean-airlines-v1^BW^Caribbean Airlines^http://www.caribbean-airlines.com
air-caribbean-winds-airlines-v1^W8^Caribbean Winds Airlines^
air-carpatair-v1^V3^Carpatair^http://carpatair.com
air-cathay-pacific-v1^CX^Cathay Pacific^http://cathaypacific.com
air-catovair-v1^0C^Catovair^
air-cayman-airways-v1^KX^Cayman Airways^
air-cebu-air-v1^5J^Cebu Pacific^https://www.cebupacificair.com
air-ceiba-v1^C2^Ceiba Intercontinental^
air-cemair-v1^5Z^CemAir^http://cemair.co.za
air-central-mountain-air-v1^9M^Central Mountain Air^
air-centralwings-v1^C0^Centralwings^
air-chalair-aviation-v1^CE^Chalair Aviation^
air-champlain-enterprises-v1^C5^CommutAir^http://www.commutair.com/
air-cham-wings-airlines-v1^6Q^Cham Wings Airlines^
air-chang-an-airlines-v1^9H^Chang An Airlines^http://www.airchangan.com
air-charlie-airlines-cyprus-v1^CY^Charlie Airlines^https://www.cyprusairways.com
air-chautauqua-airlines-v1^RP^Chautauqua Airlines^
air-chengdu-airlines-v1^EU^Chengdu Airlines^
air-chilejet-v1^H8^Chilejet^
air-china-airlines-v1^CI^China Airlines^http://www.china-airlines.com/
air-china-air-cargo-v1^ZY^China Air Cargo^
air-china-cargo-airlines-bis-v1^CK^China Cargo Airlines^
air-china-cargo-airlines-v1^CK^China Cargo Airlines^
air-china-eastern-airlines-v1^MU^China Eastern Airlines^http://www.ceair.com
air-china-express-airlines-v1^G5^China Express Airlines^http://www.chinaexpressair.com/
air-china-postal-airlines-v1^CF^China Postal Airlines^http://www.cnpostair.com/
air-china-southern-airlines-v1^CZ^China Southern Airlines^http://www.csair.com/en/index.shtml
air-china-united-airlines-v1^KN^China United Airlines^
air-china-west-air-v1^PN^China West Air^
air-chongqing-airlines-v1^OQ^Chongqing Airlines^
air-chu-kong-passenger-transport-v1^3A^Chu Kong Passenger Transport^
air-cimber-v1^QA^Cimber^https://web.archive.org/web/20030721194620/http://www.cimber.dk/
air-cinnamon-air-v1^C7^Cinnamon Air^http://www.cinnamonair.com
air-citilink-indonesia-v1^QG^Citilink Indonesia^http://www.citilink.co.id
air-city-airways-v1^E8^City Airways^http://www.cityairways.co.th
air-cityjet-v1^WX^CityJet^http://www.cityjet.com
air-closed-iraero-v1^IO^IrAero^http://iraero.ru/en/
air-cm-airlines-v1^CC^CM Airlines^http://www.cmairlines.com/
air-coastal-travels-v1^CQ^Coastal Travels^
air-cobalt-air-v1^CO^Cobalt Air^http://www.cobalt.aero
air-colgan-air-v1^9L^West Link Airways^
air-colorful-guizhou-airlines-v1^GY^Colorful Guizhou Airlines^http://www.dcair.net/
air-comair-south-africa-v1^MN^Comair^http://www.comair.co.za
air-comlux-aruba-v1^CS^Comlux Aruba^http://www.comlux.com
air-comores-aviation-v1^O5^Comores Aviation International^
air-compagnie-africaine-d-aviation-v1^BU^Compagnie Africaine d'Aviation^http://www.caacongo.com/
air-compass-airlines-v1^CP^Compass Airlines^http://www.compassairline.com/
air-condor-berlin-v1^DF^Condor Berlin^http://www.condor.com/eu/index.jsp
air-condor-v1^DE^Condor^http://www.condor.com/eu/index.jsp
air-congo-airways-v1^8Z^Congo Airways^http://www.congoairways.com/
air-conviasa-v1^V0^Conviasa^
air-copa-airlines-v1^CM^Copa Airlines^http://www.copaair.com
air-corendon-airlines-v1^XC^Corendon Airlines^http://www.corendon-airlines.com/
air-corendon-dutch-airlines-v1^CD^Corendon Dutch Airlines^
air-corporate-flight-management-v1^LF^Corporate Flight Management^http://contouraviation.com/
air-corsair-v1^SS^Corsair^http://corsair.fr
air-croatia-airlines-v1^OU^Croatia Airlines^http://www.croatiaairlines.hr/
air-cronos-airlines-v1^C8^Cronos Airlines^http://cronosair.com
air-cts-viaggi-v1^I1^CTS Viaggi^
air-cubana-de-aviacion-v1^CU^Cubana De Aviacion^
air-czech-airlines-v1^OK^Czech Airlines^http://www.czechairlines.com/
air-daallo-airlines-v1^D3^Daallo Airlines^
air-dac-east-africa-v1^JX^DAC East Africa^http://dacaviation.com
air-dagestan-airlines-v1^N2^Dagestan Airlines^
air-dana-airlines-v1^9J^Dana Air^http://www.flydanaair.com/
air-danish-air-transport-v1^DX^Danish Air Transport^http://www.dat.dk/home-30644.htm
air-dart-ltd-v1^D4^DART Ltd^
air-deer-jet-airlines-v2^JD^Beijing Capital Airlines^http://www.jdair.net/
air-delta-air-lines-v1^DL^Delta Air Lines^https://www.delta.com/
air-delta-connection-v1^DQ^Delta Connection^
air-delux-public-charter-v1^XE^Delux Public Charter^
air-denim-air-v2^G6^Denim Air^http://www.denim.aero
air-dhl-air-uk-v1^D0^DHL Air UK^http://www.dhl.com/en.html
air-dhl-international-aviation-me-v1^ES^DHL International Aviation ME^http://www.dhl.com/
air-djibouti-air-v1^DZ^Donghai Airlines^
air-dniproavia-v1^Z6^Dniproavia^http://dniproavia.com/en/
air-dobrolet-v1^QD^Dobrolet Airlines^
air-dokasch-v1^3D^Dokasch^
air-donavia-v1^D9^Donavia^http://www.aeroflot-don.ru/?language=en
air-dot-lt-v1^R6^DOT LT^
air-douniah-airlines-v1^DH^Douniah Airlines^
air-dragonair-v1^KA^Hong Kong Dragon Airlines^https://www.cathaypacific.com/
air-dreamjet-v1^B0^La Compagnie^http://www.lacompagnie.com
air-druk-air-v1^KB^Druk Air^http://www.drukair.com.bt
air-dynamic-air-v1^2D^Dynamic Airways^https://www.easternairlines.com/
air-eagle-air-v1^H7^Eagle Air^
air-east-african-safari-air-v1^B5^Fly-SAX^http://fly-sax.com
air-east-air-v1^EG^East Air^
air-eastar-jet-v1^ZE^Eastar Jet^
air-east-coast-flight-services-v1^5E^East Coast Flight Services^
air-eastern-air-lines-v2^EA^East Air Lines^http://easternairlines.aero
air-eastern-airways-v1^T3^Eastern Airways^http://www.easternairways.com
air-eastern-caribbean-airlines-v1^JI^Eastern Caribbean Airlines^
air-east-line-v1^1T^East Line^
air-eastok-avia-v3^KR^Air Bishkek^http://www.airbishkek.kg/
air-easyfly-colombia^VE^EasyFly^http://www.easyfly.com.co
air-easyjet-switzerland-v1^DS^easyJet Switzerland^http://www.easyjet.com
air-easyjet-v1^U2^easyJet^http://www.easyJet.com/
air-edelweiss-air-v1^WK^Edelweiss Air^http://www.flyedelweiss.com
air-egyptair-v1^MS^EgyptAir^http://egyptair.com
air-el-al-v1^LY^El Al^http://www.elal.com/en/USA/Pages/default.aspx
air-ellinair-v1^EL^Ellinair^http://el.ellinair.com/
air-emirates-v1^EK^Emirates^http://www.emirates.com/english
air-endeavor-air-v1^9E^Endeavor Air^http://www.endeavorair.com/
air-enter-air-v1^E4^Enter Air^http://www.enterair.pl/en
air-equaflight-service-v1^E7^Equaflight Service^
air-equatorial-congo-airlines-v1^LC^ECAir^
air-era-aviation-v2^7H^Ravn Alaska^http://www.flyravn.com
air-eritrean-airlines-v1^B8^Eritrean Airlines^
air-ero-sun-d-or-v1^2U^Ero Sun d'Or^
air-e-savtravel-v1^L1^E Savtravel^
air-estelar-latinoamerica-v2^ES^Estelar Latinoamerica^
air-ethiopian-airlines-v1^ET^Ethiopian Airlines^http://www.ethiopianairlines.com
air-etihad-airways-v1^EY^Etihad Airways^http://etihad.com
air-etihad-regional-v1^F7^Etihad Regional^https://www.adriaairways.ch/en-us/?ln=d
air-eurasia-air-v1^6Z^Eurasia Air^
air-euroatlantic-airways-v1^YU^Euroatlantic Airways^http://www.flyeuroatlantic.pt/
air-europe-airpost-v1^5O^ASL Airlines France^http://www.aslairlines.fr/en/
air-european-air-transport-v1^QY^European Air Transport^
air-european-coastal-airlines-v1^WL^European Coastal Airlines^http://www.ec-air.eu/
air-eurowings-europe-v1^E2^Eurowings Europe^http://eurowings.com
air-eurowings-v1^EW^Eurowings^http://eurowings.com
air-eva-air-v1^BR^EVA Air^http://www.evaair.com/
air-evelop-airlines-v1^E9^Evelop Airlines^http://en.evelop.com
air-everts-v1^5V^Everts^
air-ewa-air-v1^ZD^Ewa Air^
air-exec-air-v1^X7^Exec Air^
air-executive-express-aviation-v1^6G^Executive Express Aviation^http://www.iFlySouthern.com
air-express-air-cargo-v1^7A^Express Air Cargo^
air-expressjet-airlines-v1^EV^ExpressJet Airlines^http://www.expressjet.com/
air-fair-aviation-v1^2F^Fair Aviation^
air-flyadeal-v1^F3^Flyadeal^http://www.flyadeal.com/
air-far-eastern-v1^FE^Far Eastern Air Transport^http://www.fat.com.tw/
air-fars-qeshm-airlines-v1^QE^Fars Qeshm Airlines^
air-federal-airlines-v1^7V^Federal Airlines^
air-fedex-v1^FX^Fedex^
air-felix-airways-v1^FO^Felix Airways^
