pk^env_id^validity_from^validity_to^3char_code^2char_code^num_code^name^name2^alliance_code^alliance_status^type^wiki_link^alt_names^bases^key^version^parent_pk_list
air-air-baltic-v1^^1995-01-01^^BTI^BT^657^airBaltic^^^^^https://en.wikipedia.org/wiki/AirBaltic^en|airBaltic|^^air-air-baltic^1^
air-air-belgium-v2^^2018-06-01^^ABB^KF^142^Air Belgium^^^^^https://en.wikipedia.org/wiki/Air_Belgium_(since_2016)^en|Air Belgium|^^air-air-belgium^2^
air-airblue-v1^^2004-06-18^^ABQ^PA^84^Airblue^Florida Coast^^^P^https://en.wikipedia.org/wiki/Airblue^en|Airblue|=en|Florida Coast|^^air-airblue^1^
air-air-botswana-v1^^^^BOT^BP^636^Air Botswana^^^^^^en|Air Botswana|^^air-air-botswana^1^
air-air-bretagne-v1^^^^OMQ^3E^0^Multi Aero^Air Bretagne^^^^^en|Multi Aero|=en|Air Bretagne|^^air-air-bretagne^1^
air-air-bridge-cargo-v1^^^^SKI^RU^0^Air Bridge Cargo^Tci Skyking^^^C^^en|Air Bridge Cargo|=en|Tci Skyking|^^air-air-bridge-cargo^1^
air-air-burkina-v1^^^^VBW^2J^226^Air Burkina^^^^^^en|Air Burkina|^^air-air-burkina^1^
air-air-busan-v1^^2007-01-01^^ABL^BX^982^Air Busan^^^^^https://en.wikipedia.org/wiki/Air_Busan^en|Air Busan|^^air-air-busan^1^
air-air-cairo-v1^^2003-01-01^^MSC^SM^381^Air Cairo^^^^^https://en.wikipedia.org/wiki/Air_Cairo^en|Air Cairo|^CAI^air-air-cairo^1^
air-air-caledonie-v1^^^^TPC^TY^190^Air Caledonie^^^^^^en|Air Caledonie|^^air-air-caledonie^1^
air-air-calin-v1^^1983-01-01^^ACI^SB^63^Aircalin^Cal Int^^^^https://en.wikipedia.org/wiki/Aircalin^en|Aircalin|=en|Cal Int|^^air-air-calin^1^
air-air-canada-rouge-v1^^^^^RV^0^Air Canada Rouge^^^^^^en|Air Canada Rouge|^^air-air-canada-rouge^1^
