3char_code^2char_code^name^website
AAM^^Air America^
MKL^MW^Mokulele Airlines^http://www.mokuleleairlines.com/
UAL^UA^United Airlines^https://www.united.com/
ASQ^EV^Atlantic Southeast Airlines^http://www.flyasa.com
TAS^LU^Lotus Air^
TAS^T2^Lotus Air^
VTA^VT^Air Tahiti^http://www.airtahiti.pf
^EE^Euroberlin France^
THE^9D^Toumaï Air Tchad^
VEC^V4^Vensecar Internacional^http://www.vensecar.com/
UAE^EK^Emirates^http://emirates.com
DSM^4M^LATAM Argentina^https://www.latam.com/es_ar/
ATC^TC^Air Tanzania^http://www.airtanzania.co.tz
TID^8T^Air Tindi^http://www.airtindi.com
ATN^8C^Air Transport International^http://www.airtransport.cc/
UKA^UK^AirUK^http://web.archive.org/*/http://www.airuk.co.uk
TSC^TS^Air Transat^http://www.airtransat.com/
UGA^U7^Air Uganda^http://www.air-uganda.com/
RVL^DO^Air Vallée^
AVN^NF^Air Vanuatu^http://www.airvanuatu.com
VIM^VL^Air VIA^http://www.air-via.com/
AWW^6G^Air Wales^http://web.archive.org/*/www.airwales.co.uk
AWZ^^Air West^http://www.airwestuae.com/
AWI^ZW^Air Wisconsin^http://www.airwis.com
AZW^UM^Air Zimbabwe^http://www.airzimbabwe.com
ACI^SB^Aircalin^http://www.aircalin.com
^^Aircraft Transport and Travel^
ARE^4C^LATAM Colombia^https://www.latam.com/es_co/
AFE^FS^Airfast Indonesia^http://www.airfastindonesia.com/
XAK^P2^Airkenya Express^http://www.airkenya.com/
RLA^AN^Airlinair^
TOK^CG^PNG Air^http://www.apng.com/
^ND^Airlink^
LNK^4Z^Airlink^https://flyairlink.com/
ANO^TL^Airnorth^http://www.airnorth.com.au/
GAP^2P^Airphil Express^http://www.philippineairlines.com/
AIH^VZ^Airtours^http://www.airtours.co.uk
CYM^AK^Airways International Cymru^
AWD^RL^Airworld^
AKD^^Akdeniz Airlines^
AKK^6L^Aklak Air^http://www.aklakair.ca/
MPH^MP^Martinair^http://www.martinair.com/
WDA^WD^Wardair^
WEB^WH^WebJet Linhas Aéreas^
TBA^TR^Transbrasil^http://web.archive.org/web/*/www.transbrasil.com.br/i/index.htm
TBA^QD^Transbrasil^http://web.archive.org/web/*/www.transbrasil.com.br/i/index.htm
VOI^Y4^Volaris^http://www.volaris.com
SKC^^Skymaster Airlines^http://www.skymaster.com.br
AHX^^Amakusa Airlines^http://www.amx.co.jp/
MNF^^AV8 Air^
SAY^CB^Suckling Airways^http://www.sucklingairways.co.uk
ESS^E0^Eos Airlines^http://web.archive.org/web/*/http://www.eosairlines.com/
APF^HP^Amapola Flyg^http://www.amapola.nu/
GNT^0A^Amber Air^
COZ^F5^Cosmic Air^http://web.archive.org/web/*/http://www.cosmicair.com/
ASL^JU^Air Serbia^http://www.airserbia.com/
IRA^IR^Iran Air^http://www.iranair.com
AMK^^Amerer Air^http://www.amererair.com
AWE^HP^America West Airlines^
^^American Overseas Airlines^
LDM^OE^Laudamotion^https://www.ryanair.com/la/de/
PWF^8W^Private Wings^https://www.private-wings.de/en/home/
^ZF^Athens Airways^http://www.athensairways.com/en
HHN^HR^Hahn Air^http://www.hahnair.com/
GFA^GF^Gulf Air^https://www.gulfair.com
KNE^XY^Kayala Airline^
BUA^BR^British United Airways^
AAN^WD^Amsterdam Airlines^http://www.amsterdam-airlines.com/
AAN^2H^Amsterdam Airlines^http://www.amsterdam-airlines.com/
BCS^QY^European Air Transport Leipzig^
DHI^KI^Adam Air^http://www.adamair.co.id
JJA^7C^Jeju Air^http://www.jejuair.net
TGW^TR^Tiger Airways^http://www.tigerair.com/
AJA^^AnadoluJet^http://www.anadolujet.com
JNA^LJ^Jin Air^http://www.jinair.com/
UGA^QU^Uganda Airlines^http://www.swiftuganda.com/~uac/quhom.htm
RME^R3^Armenian Airlines^http://web.archive.org/*/http://www.armenianairlines.com
^^Korean National Airlines^
CAT^CT^Civil Air Transport^
ESR^ZE^Eastar Jet^http://www.eastarjet.com/
^IH^Itavia^
ONA^OE^Yeongnam Air^http://www.ynair.co.kr/
ANS^OY^Andes Líneas Aéreas^http://www.andesonline.com/
GCO^GR^Gemini Air Cargo^http://www.geminiaircargo.com/
KEA^XE^Korea Express Air^http://www.keair.co.kr/
TWB^TW^T'way Airlines^http://www.twayair.com/
^RH^Manchukuo National Airways^
BST^T1^Bestair^http://web.archive.org/*/http://www.flybestair.com
BST^5F^Bestair^http://web.archive.org/*/http://www.flybestair.com
EAQ^QF^Eastern Australia Airlines^
^JW^Skippers Aviation^http://www.skippers.com.au/
^FQ^Brindabella Airlines^http://www.brindabellaairlines.com.au
SKP^Q6^Skytrans Airlines^http://www.skytrans.com.au/
SWA^WN^Southwest Airlines^https://www.southwest.com
CUK^^New Central Airlines^http://www.central-air.co.jp/
AEB^EM^Aero Benin^
GGL^^Aeronáutica^
HLX^X3^TUI fly Deutschland^https://www.tuifly.com
TUI^X3^TUI fly Deutschland^https://www.tuifly.com
GAO^DC^Sverigeflyg^
TSO^UN^Transaero Airlines^http://www.transaero.ru
JGN^JA^Jagson Airlines^
GIA^GA^Garuda Indonesia^http://www.garuda-indonesia.com
UKM^UF^UM Airlines^http://www.umair.com.ua/
ISW^IF^Islas Airways^http://www.islasairways.com/
AUL^5N^Nordavia^http://www.nordavia.ru
TFL^OR^TUI fly Netherlands^http://www.tui.nl
JAF^TB^TUI fly Belgium^http://www.jetairfly.com
JAF^TB^TUI fly Belgium^http://www.tuifly.be
BGE^^Bridge Airlines^
TWA^TW^Trans World Airlines^http://www.twa.com
