ICAO;IATA;Airportname;Citycode;Cityname;Countrycode;Countryname;NUTS-3
LOWL;LNZ;LINZ;LNZ;LINZ;AT;AUSTRIA;AT312
LOWG;GRZ;GRAZ;GRZ;GRAZ;AT;AUSTRIA;AT221
LOWI;INN;INNSBRUCK;INN;INNSBRUCK;AT;AUSTRIA;AT332
LOWK;KLU;KLAGENFURT;KLU;KLAGENFURT;AT;AUSTRIA;AT211
LOWS;SZG;SALZBURG;SZG;SALZBURG;AT;AUSTRIA;AT323
LOWW;VIE;VIENNA;VIE;VIENNA;AT;AUSTRIA;AT130
EBCI;CRL;BRUSSELS SOUTH CHARLEROI AIRPORT;BRU;BRUSSELS;BE;BELGIUM;BE100
EBKT;KJK;KORTRIJK;KJK;KORTRIJK;BE;BELGIUM;BE254
EBZH;QHA;HASSELT OFF-LINE POINT;QHA;HASSELT;BE;BELGIUM;BE221
EBGT;GNE;GHENT;GNE;GHENT;BE;BELGIUM;BE234
EBNM;QNM;NAMUR RAIL STATION;QNM;NAMUR;BE;BELGIUM;BE352
EBBR;BRU;BRUSSELS NATIONAL AIRPORT;BRU;BRUSSELS;BE;BELGIUM;BE100
EBAW;ANR;ANTWERP DEURNE AIRPORT;ANR;ANTWERP;BE;BELGIUM;BE211
EBLG;LGG;LIEGE BIERSET APT;LGG;LIEGE;BE;BELGIUM;BE332
EBOS;OST;OSTEND;OST;OSTEND;BE;BELGIUM;BE255
EBZR;OBL;ZOERSEL;OBL;ZOERSEL;BE;BELGIUM;BE211
LBBG;BOJ;BURGAS airport;BOJ;BURGAS;BG;BULGARIA;BG341
LBPD;PDV;PLOVDIV;PDV;PLOVDIV;BG;BULGARIA;BG421
LBGO;GOZ;GORNA ORJAHOVICA;GOZ;GORNA ORJAHOVICA;BG;BULGARIA;BG321
LBSZ;SZR;STARA ZAGORA;SZR;STARA ZAGORA;BG;BULGARIA;BG344
LBRS;ROU;RUSE;ROU;RUSE;BG;BULGARIA;BG323
LBSF;SOF;SOFIA airport;SOF;SOFIA;BG;BULGARIA;BG411
LBWN;VAR;VARNA airport;VAR;VARNA;BG;BULGARIA;BG331
LSGN;QNC;NEUCHATEL OFF-LINE PT;QNC;NEUCHATEL;CH;SWITZERLAND;CH024
LSZB;BRN;BERNE BELP;BRN;BERNE;CH;SWITZERLAND;CH021
KQNC;QNC;NEUCHATEL OFF-LINE PT;QNC;NEUCHATEL;CH;SWITZERLAND;CH024
LSGL;QLS;LAUSANNE RAIL STATION;QLS;LAUSANNE;CH;SWITZERLAND;CH011
LSGC;ZHV;LES EPLATURES airport;ZHV;LES EPLATURES;CH;SWITZERLAND;CH024
LSFB;BSL;EUROAIRPORT BASEL;EAP;EUROAIRPORT;CH;SWITZERLAND;CH031
LSGG;GVA;GENEVA;GVA;GENEVA;CH;SWITZERLAND;CH013
LSZR;ACH;ALTENRHEIN;ACH;ALTENRHEIN;CH;SWITZERLAND;CH055
LSZA;LUG;LUGANO;LUG;LUGANO;CH;SWITZERLAND;CH070
KLUG;LUG;LUGANO;LUG;LUGANO;CH;SWITZERLAND;CH070
LFSB;MLH;EUROAIRPORT MULHOUSE;EAP;EUROAIRPORT;CH;SWITZERLAND;CH031
LSME;EML;EMMEN;EML;EMMEN;CH;SWITZERLAND;CH061
LSGS;SIR;SION;SIR;SION;CH;SWITZERLAND;CH012
LSZH;ZRH;ZURICH AIRPORT;ZRH;ZURICH;CH;SWITZERLAND;CH040
LSZD;ACO;ASCONA;ACO;ASCONA;CH;SWITZERLAND;CH070
LCEN;ECN;ERCAN;ECN;ERCAN;CY;CYPRUS;CY000
LCRA;AKT;AKROTIRI;AKT;AKROTIRI;CY;CYPRUS;CY000
LCCC;NIC;NICOSIA;NIC;NICOSIA;CY;CYPRUS;CY000
LCPH;PFO;PAPHOS;PFO;PAPHOS;CY;CYPRUS;CY000
LCLK;LCA;LARNACA;LCA;LARNACA;CY;CYPRUS;CY000
LKPR;PRG;PRAGUE;PRG;PRAGUE;CZ;CZECH REPUBLIC;CZ010
KPRG;PRG;PRAGUE;PRG;PRAGUE;CZ;CZECH REPUBLIC;CZ010
LKTB;BRQ;BRNO TURANY APT;BRQ;BRNO;CZ;CZECH REPUBLIC;CZ064
KMKA;MKA;MARIANSKE LAZNE;MKA;MARIANSKE LAZNE;CZ;CZECH REPUBLIC;CZ041
LKKV;KLV;KARLOVY VARY;KLV;KARLOVY VARY;CZ;CZECH REPUBLIC;CZ041
LKHO;GTW;ZLIN;GTW;ZLIN;CZ;CZECH REPUBLIC;CZ072
LKPD;PED;PARDUBICE;PED;PARDUBICE;CZ;CZECH REPUBLIC;CZ053
LKPO;PRV;PREROV;PRV;PREROV;CZ;CZECH REPUBLIC;CZ071
LKOL;OLO;OLOMOUC;OLO;OLOMOUC;CZ;CZECH REPUBLIC;CZ071
LKMT;OSR;OSTRAVA;OSR;OSTRAVA;CZ;CZECH REPUBLIC;CZ080
ETSF;FEL;FURSTENFELDBRUCK;FEL;FURSTENFELDBRUCK;DE;GERMANY;DE218
EDQM;HOQ;HOF;HOQ;HOF;DE;GERMANY;DE244
EDDL;DUS;DUSSELDORF RHEIN RUHR AIRPORT;DUS;DUSSELDORF;DE;GERMANY;DEA11
ETUO;GUT;GUTERSLOH;GUT;GUTERSLOH;DE;GERMANY;DEA42
EDRZ;ZQW;SAARBRUCKEN ZWEIBRUECKEN AIRPORT;SCN;SAARBRUCKEN;DE;GERMANY;DE218
EDWY;NRD;NORDERNEY;NRD;NORDERNEY;DE;GERMANY;DE947
ETID;ZNF;HANAU;ZNF;HANAU;DE;GERMANY;DE719
KQSM;QSM;UETERSEN OFF-LINE POINT;QSM;UETERSEN;DE;GERMANY;DEF09
EDLW;DTM;DORTMUND;DTM;DORTMUND;DE;GERMANY;DEA52
EDFH;HHN;FRANKFURT HAHN AIRPORT;FRA;FRANKFURT;DE;GERMANY;DE411
KBFE;BFE;BIELEFELD;BFE;BIELEFELD;DE;GERMANY;DEA41
EDWB;BRV;BREMERHAVEN;BRV;BREMERHAVEN;DE;GERMANY;DE502
EDLP;PAD;PADERBORN;PAD;PADERBORN;DE;GERMANY;DEA47
EDDH;HAM;HAMBURG FUHLSBUETTEL AIRPORT;HAM;HAMBURG;DE;GERMANY;DEE06
ETHF;FRZ;FRITZLAR;FRZ;FRITZLAR;DE;GERMANY;DE735
EDLN;MGL;DUSSELDORF MOENCHENGLADBACH;DUS;DUSSELDORF;DE;GERMANY;DEA11
EDIU;HDB;HEIDELBERG;HDB;HEIDELBERG;DE;GERMANY;DE125
ETNL;RLG;ROSTOCK-LAAGE;RLG;ROSTOCK-LAAGE;DE;GERMANY;DE809
EDDF;FRA;FRANKFURT INTERNATIONAL APT;FRA;FRANKFURT;DE;GERMANY;DE411
EDGS;SGE;SIEGEN;SGE;SIEGEN;DE;GERMANY;DEA5A
EDNY;FDH;FRIEDRICHSHAFEN;FDH;FRIEDRICHSHAFEN;DE;GERMANY;DE147
CZEE;ZEE;FULDA RAIL STATION;ZEE;FULDA;DE;GERMANY;DE732
KRBM;RBM;STRAUBING;RBM;STRAUBING;DE;GERMANY;DE223
EDDT;TXL;BERLIN TEGEL APT;BER;BERLIN;DE;GERMANY;DE300
EDRB;BBJ;BITBURG;BBJ;BITBURG;DE;GERMANY;DEB23
EDXO;PSH;ST PETER-ORDING;PSH;ST PETER-ORDING;DE;GERMANY;DE132
EDWL;LGO;LANGEOOG;LGO;LANGEOOG;DE;GERMANY;DE94H
EDQD;BYU;BAYREUTH;BYU;BAYREUTH;DE;GERMANY;DE242
EDDG;FMO;MUNSTER;FMO;MUNSTER;DE;GERMANY;DE938
EDCD;CBU;COTTBUS;CBU;COTTBUS;DE;GERMANY;DE422
EDMO;OBF;OBERPFAFFENHOFEN;OBF;OBERPFAFFENHOFEN;DE;GERMANY;DE244
ETHE;ZPQ;RHEINE;ZPQ;RHEINE;DE;GERMANY;DEA37
EDXB;HEI;HEIDE/BUESUM;HEI;HEIDE/BUESUM;DE;GERMANY;DEF05
EDDE;ERF;ERFURT;ERF;ERFURT;DE;GERMANY;DEG01
EDDR;SCN;SAARBRUCKEN ENSHEIM AIRPORT;SCN;SAARBRUCKEN;DE;GERMANY;DE218
ETHT;CBU;COTTBUS;CBU;COTTBUS;DE;GERMANY;DE422
ETOU;WIE;WIESBADEN AIR BASE;WIE;WIESBADEN AIR BASE;DE;GERMANY;DE139
ETAR;RMS;RAMSTEIN;RMS;RAMSTEIN;DE;GERMANY;DE258
KGWW;GWW;BERLIN ROYAL AIR FORCE GATOW;BER;BERLIN;DE;GERMANY;DE300
EDDC;DRS;DRESDEN;DRS;DRESDEN;DE;GERMANY;DED21
EDWG;AGE;WANGEROOGE;AGE;WANGEROOGE;DE;GERMANY;DE21B
EDKB;BNJ;COLOGNE BONN MAIN RAIL STATION;CGN;COLOGNE;DE;GERMANY;DEA23
EDRK;ZNV;KOBLENZ BUS STATION;ZNV;KOBLENZ;DE;GERMANY;DEB11
EDBH;BBH;BARTH;BBH;BARTH;DE;GERMANY;DE80D
EDDP;LEJ;LEIPZIG/HALLE;LEJ;LEIPZIG/HALLE;DE;GERMANY;DED31
EDLE;ESS;ESSEN;ESS;ESSEN;DE;GERMANY;DEA13
EDTL;LHA;LAHR;LHA;LAHR;DE;GERMANY;DEB23
EDMS;RBM;STRAUBING;RBM;STRAUBING;DE;GERMANY;DE223
EDAC;AOC;ALTENBURG;LEJ;LEIPZIG/HALLE;DE;GERMANY;DED31
EDXF;FLF;FLENSBURG;FLF;FLENSBURG;DE;GERMANY;DEF01
CZBD;ZBD;BAD BRAMBACH RAIL STATION;ZBD;BAD BRAMBACH;DE;GERMANY;DED17
EDHL;LBC;HAMBURG LUEBECK AIRPORT;HAM;HAMBURG;DE;GERMANY;DEE06
EDZE;ESS;ESSEN;ESS;ESSEN;DE;GERMANY;DEA13
EDLV;NRN;DUSSELDORF NIEDERRHEIN AIRPORT;DUS;DUSSELDORF;DE;GERMANY;DEA11
EDWR;BMK;BORKUM;BMK;BORKUM;DE;GERMANY;DE94C
EDDN;NUE;NUREMBERG APT;NUE;NUREMBERG;DE;GERMANY;DE249
CZSN;ZSN;STENDAL RAIL STATION;ZSN;STENDAL;DE;GERMANY;DEE0D
EDXH;HGL;HELGOLAND;HGL;HELGOLAND;DE;GERMANY;DEF09
ETUL;LRC;LAARBRUCH;LRC;LAARBRUCH;DE;GERMANY;DEB22
ETIE;QHD;HAHNWEIDE RAIL STATION;QHD;HAHNWEIDE;DE;GERMANY;DEB19
EDFV;ZQV;WORMS airport;ZQV;WORMS;DE;GERMANY;DEB39
KZEF;ZEF;FUERTH;ZEF;FUERTH;DE;GERMANY;DE715
KBMK;BMK;BORKUM;BMK;BORKUM;DE;GERMANY;DE94C
EDXW;GWT;WESTERLAND;GWT;WESTERLAND;DE;GERMANY;DEF07
EDFZ;QMZ;MAINZ RAIL STATION;QMZ;MAINZ;DE;GERMANY;DEB35
EDWE;EME;EMDEN;EME;EMDEN;DE;GERMANY;DEE07
ETNG;GKE;GEILENKIRCHEN;GKE;GEILENKIRCHEN;DE;GERMANY;DEA29
EDBM;ZMG;MAGDEBURG RAIL STATION;ZMG;MAGDEBURG;DE;GERMANY;DEE03
ETUR;BGN;BRUGGEN;BGN;BRUGGEN;DE;GERMANY;DE925
EDXY;OHR;WYK AUF FOHR;OHR;WYK AUF FOHR;DE;GERMANY;DE132
KPEF;PEF;PEENEMUENDE;PEF;PEENEMUENDE;DE;GERMANY;DE80F
EDDM;MUC;MUNICH INTERNATIONAL AIRPORT;MUC;MUNICH;DE;GERMANY;DE212
EDTF;QFB;FREIBURG RAIL STATION;QFB;FREIBURG;DE;GERMANY;DEE06
ETEB;QOB;ANSBACH OFF-LINE POINT;QOB;ANSBACH;DE;GERMANY;DE251
ETSM;QOX;MEMMINGEN OFF-LINE POINT;QOX;MEMMINGEN;DE;GERMANY;DE274
KNRN;NRN;DUSSELDORF NIEDERRHEIN AIRPORT;DUS;DUSSELDORF;DE;GERMANY;DEA11
EDFE;QEF;EGELSBACH;QEF;EGELSBACH;DE;GERMANY;DE71C
EDDK;CGN;COLOGNE/BONN K.A.APT;CGN;COLOGNE;DE;GERMANY;DEA23
EDVK;KSF;KASSEL;KSF;KASSEL;DE;GERMANY;DE731
EDDV;HAJ;HANOVER;HAJ;HANOVER;DE;GERMANY;DE929
ETUN;ZOW;NORDHORN;ZOW;NORDHORN;DE;GERMANY;DE94B
EDTO;ZPA;OFFENBURG RAIL STATION;ZPA;OFFENBURG;DE;GERMANY;DE134
EDLK;QKF;KREFELD OFF-LINE POINT;QKF;KREFELD;DE;GERMANY;DEA14
EDTB;ZCC;BADEN BADEN RAIL STATION;FKB;KARLSRUHE/BADEN BADEN;DE;GERMANY;DE122
EDML;QLG;LANDSHUT OFF-LINE PT;QLG;LANDSHUT;DE;GERMANY;DE221
EDDI;THF;BERLIN TEMPELHOF APT;BER;BERLIN;DE;GERMANY;DE300
ETHC;ZCN;CELLE;ZCN;CELLE;DE;GERMANY;DE931
EDHI;XFW;FINKENWERDER;XFW;FINKENWERDER;DE;GERMANY;DE80G
EDAH;HDF;HERINGSDORF;HDF;HERINGSDORF;DE;GERMANY;DE80F
EDDW;BRE;BREMEN;BRE;BREMEN;DE;GERMANY;DE501
EDJA;FMM;MEMMINGEN/ALLGAU airport;FMM;MEMMINGEN;DE;GERMANY;DE274
EDWJ;JUI;JUIST;JUI;JUIST;DE;GERMANY;DE947
EDMA;AGB;MUNICH AUGSBURG APT;MUC;MUNICH;DE;GERMANY;DE212
ETBA;AAH;AACHEN;AAH;AACHEN;DE;GERMANY;DEA21
EDRT;ZQF;TRIER;ZQF;TRIER;DE;GERMANY;DEB21
EDHK;KEL;KIEL;KEL;KIEL;DE;GERMANY;DEF02
KFNB;FNB;NEUBRANDENBURG;FNB;NEUBRANDENBURG;DE;GERMANY;DE802
EDOL;FRF;FRANKFURT RHEIN MAIN AFB;FRA;FRANKFURT;DE;GERMANY;DE411
KHEI;HEI;HEIDE/BUESUM;HEI;HEIDE/BUESUM;DE;GERMANY;DEF05
ETAD;SPM;SPANGDAHLEM;SPM;SPANGDAHLEM;DE;GERMANY;DEB23
EDDB;SXF;BERLIN SCHONEFELD APT;BER;BERLIN;DE;GERMANY;DE300
EDWD;XLW;LEMWERDER;XLW;LEMWERDER;DE;GERMANY;DE94G
ETEJ;ZCD;BAMBERG;ZCD;BAMBERG;DE;GERMANY;DE241
EDSB;FKB;KARLSRUHE/BADEN BADEN;FKB;KARLSRUHE/BADEN BADEN;DE;GERMANY;DE122
KNDZ;NDZ;NORDHOLZ-SPIEKA;NDZ;NORDHOLZ-SPIEKA;DE;GERMANY;DE932
EDDS;STR;STUTTGART ECHTERDINGEN APT;STR;STUTTGART;DE;GERMANY;DE111
ETNS;WBG;SCHLESWIG-JAQEL;WBG;SCHLESWIG-JAQEL;DE;GERMANY;DEF0C
EDFM;MHG;MANNHEIM;MHG;MANNHEIM;DE;GERMANY;DE126
EDKA;AAH;AACHEN;AAH;AACHEN;DE;GERMANY;DEA21
EDBG;GWW;BERLIN ROYAL AIR FORCE GATOW;BER;BERLIN;DE;GERMANY;DE300
EDVE;BWE;BRAUNSCHWEIG;BWE;BRAUNSCHWEIG;DE;GERMANY;DE911
ETAS;SEX;SEMBACH;SEX;SEMBACH;DE;GERMANY;DEB3F
EDTZ;QKZ;KONSTANZ OFF-LINE PT;QKZ;KONSTANZ;DE;GERMANY;DE138
EKYT;AAL;AALBORG AIRPORT;AAL;AALBORG;DK;DENMARK;DK050
EKLS;BYR;LAESO ISLAND;BYR;LAESO ISLAND;DK;DENMARK;DK050
EKRK;RKE;COPENHAGEN ROSKILDE APT;CPH;COPENHAGEN;DK;DENMARK;DK050
EKCH;CPH;KOBENHAVN/KASTRUP airport;CPH;COPENHAGEN;DK;DENMARK;DK011
EKBI;BLL;BILLUND;BLL;BILLUND;DK;DENMARK;DK032
EKOD;ODE;ODENSE AIRPORT;ODE;ODENSE;DK;DENMARK;DK050
EKAH;AAR;AARHUS;AAR;AARHUS;DK;DENMARK;DK042
EKSB;SGD;SONDERBORG AIRPORT;SGD;SONDERBORG;DK;DENMARK;DK050
EKMB;MRW;MARIBO;MRW;MARIBO;DK;DENMARK;DK050
EKRN;RNN;BORNHOLM airport;RNN;BORNHOLM;DK;DENMARK;DK014
EKSV;SQW;SKIVE;SQW;SKIVE;DK;DENMARK;DK041
EKTS;TED;THISTED;TED;THISTED;DK;DENMARK;DK050
EKVJ;STA;STAUNING;STA;STAUNING;DK;DENMARK;DK041
EKEB;EBJ;ESBJERG airport;EBJ;ESBJERG;DK;DENMARK;DK032
EKKA;KRP;KARUP airport;KRP;KARUP;DK;DENMARK;DK041
EKSP;SKS;VOJENS AIRPORT;SKS;VOJENS;DK;DENMARK;DK032
EETU;TAY;TARTU;TAY;TARTU;EE;ESTONIA;EE008
EEKE;URE;KURESSAARE;URE;KURESSAARE;EE;ESTONIA;EE004
EETN;TLL;TALLINN;TLL;TALLINN;EE;ESTONIA;EE001
EEPU;EPU;PARNU;EPU;PARNU;EE;ESTONIA;EE008
EETR;TAY;TARTU;TAY;TARTU;EE;ESTONIA;EE008
EEKA;KDL;KARDLA;KDL;KARDLA;EE;ESTONIA;EE008
LETO;TOJ;MADRID TORREJON AFB;MAD;MADRID;ES;SPAIN;ES300
KPMI;PMI;PALMA MALLORCA;PMI;PALMA MALLORCA;ES;SPAIN;ES620
LEVT;VIT;VITORIA;VIT;VITORIA;ES;SPAIN;ES611
GEML;MLN;MELILLA;MLN;MELILLA;ES;SPAIN;ES640
GCGM;GMZ;SAN SEBASTIAN DE LA GOMERA;GMZ;SAN SEBASTIAN DE LA GOMERA;ES;SPAIN;ES706
LERS;REU;REUS;REU;REUS;ES;SPAIN;ES514
LEVX;VGO;VIGO;VGO;VIGO;ES;SPAIN;ES114
LEJR;XRY;JEREZ DE LA FRONTERA;XRY;JEREZ DE LA FRONTERA;ES;SPAIN;ES612
LEGR;GRX;GRANADA;GRX;GRANADA;ES;SPAIN;ES614
KLCG;LCG;LA CORUNA;LCG;LA CORUNA;ES;SPAIN;ES111
LELC;MJV;MURCIA;MJV;MURCIA;ES;SPAIN;ES620
LEBZ;BJZ;BADAJOZ;BJZ;BADAJOZ;ES;SPAIN;ES431
LEST;SCQ;SANTIAGO DE COMPOSTELA;SCQ;SANTIAGO DE COMPOSTELA;ES;SPAIN;ES111
LEIB;IBZ;IBIZA;IBZ;IBIZA;ES;SPAIN;ES521
GCTS;TFS;TENERIFE SUR REINA SOFIA APT;TCI;TENERIFE;ES;SPAIN;ES709
LEMG;AGP;MALAGA;AGP;MALAGA;ES;SPAIN;ES617
GCXO;TFN;TENERIFE NORTE APT;TCI;TENERIFE;ES;SPAIN;ES709
LESA;SLM;SALAMANCA airport;SLM;SALAMANCA;ES;SPAIN;ES415
LEBB;BIO;BILBAO;BIO;BILBAO;ES;SPAIN;ES213
LELN;LCG;LA CORUNA;LCG;LA CORUNA;ES;SPAIN;ES111
LEGE;GRO;GERONA;BCN;BARCELONA;ES;SPAIN;ES511
LEVC;VLC;VALENCIA;VLC;VALENCIA;ES;SPAIN;ES523
LELL;QSA;SABADELL OFF-LINE PT;QSA;SABADELL;ES;SPAIN;ES511
LEAL;ALC;ALICANTE;ALC;ALICANTE;ES;SPAIN;ES521
KVLL;VLL;VALLADOLID;VLL;VALLADOLID;ES;SPAIN;ES418
LEZG;ZAZ;ZARAGOZA;ZAZ;ZARAGOZA;ES;SPAIN;ES243
LEPA;PMI;PALMA MALLORCA;PMI;PALMA MALLORCA;ES;SPAIN;ES620
KFES;FES;SAN FERNANDO;FES;SAN FERNANDO;ES;SPAIN;ES612
LEAB;ABC;ALBACETE;ABC;ALBACETE;ES;SPAIN;ES421
LEMO;OZP;MORON;OZP;MORON;ES;SPAIN;ES415
LEPP;PNA;PAMPLONA;PNA;PAMPLONA;ES;SPAIN;ES220
LEAS;OVD;ASTURIAS;OVD;ASTURIAS;ES;SPAIN;ES120
LEBA;ODB;CORDOBA;ODB;CORDOBA;ES;SPAIN;ES613
LESO;EAS;SAN SEBASTIAN;EAS;SAN SEBASTIAN;ES;SPAIN;ES212
GCRR;ACE;LANZAROTE;ACE;LANZAROTE;ES;SPAIN;ES708
GCLA;SPC;SANTA CRUZ DE LA PALMA;SPC;SANTA CRUZ DE LA PALMA;ES;SPAIN;ES707
LEXJ;SDR;SANTANDER;SDR;SANTANDER;ES;SPAIN;ES130
GCHI;VDE;VALVERDE;VDE;VALVERDE;ES;SPAIN;ES703
GCLP;LPA;LAS PALMAS;LPA;LAS PALMAS;ES;SPAIN;ES705
LEZL;SVQ;SEVILLE;SVQ;SEVILLE;ES;SPAIN;ES425
KPNA;PNA;PAMPLONA;PNA;PAMPLONA;ES;SPAIN;ES220
LECO;LCG;LA CORUNA;LCG;LA CORUNA;ES;SPAIN;ES111
LEMH;MAH;MENORCA;MAH;MENORCA;ES;SPAIN;ES533
LEAM;LEI;ALMERIA;LEI;ALMERIA;ES;SPAIN;ES611
GCFV;FUE;FUERTEVENTURA;FUE;FUERTEVENTURA;ES;SPAIN;ES704
LEMD;MAD;MADRID BARAJAS APT;MAD;MADRID;ES;SPAIN;ES300
LEVD;VLL;VALLADOLID;VLL;VALLADOLID;ES;SPAIN;ES418
LEBL;BCN;BARCELONA APT;BCN;BARCELONA;ES;SPAIN;ES511
EFYL;YLI;YLIVIESKA;YLI;YLIVIESKA;FI;FINLAND;FI1A2
EFKS;KAO;KUUSAMO;KAO;KUUSAMO;FI;FINLAND;FI1A2
KRVN;RVN;ROVANIEMI;RVN;ROVANIEMI;FI;FINLAND;FI1A3
EFHV;HYV;HYVINKAA;HYV;HYVINKAA;FI;FINLAND;FI181
EFTP;TMP;TAMPERE;TMP;TAMPERE;FI;FINLAND;FI192
EFSO;SOT;SODANKYLA;SOT;SODANKYLA;FI;FINLAND;FI1A3
EFRN;RVN;ROVANIEMI;RVN;ROVANIEMI;FI;FINLAND;FI1A3
EFKU;KUO;KUOPIO;KUO;KUOPIO;FI;FINLAND;FI132
EFHK;HEL;HELSINKI;HEL;HELSINKI;FI;FINLAND;FI181
EFKK;KOK;KOKKOLA/PIETARSAARI;KOK;KOKKOLA/PIETARSAARI;FI;FINLAND;FI1A1
EFHA;KEV;KUOREVESI;KEV;KUOREVESI;FI;FINLAND;FI193
EFOU;OUL;OULU;OUL;OULU;FI;FINLAND;FI1A2
EFLP;LPP;LAPPEENRANTA;LPP;LAPPEENRANTA;FI;FINLAND;FI187
EFLA;QLF;LAHTI OFF-LINE PT;QLF;LAHTI;FI;FINLAND;FI185
EFSA;SVL;SAVONLINNA;SVL;SAVONLINNA;FI;FINLAND;FI131
EFRO;RVN;ROVANIEMI;RVN;ROVANIEMI;FI;FINLAND;FI1A3
EFPO;POR;PORI;POR;PORI;FI;FINLAND;FI191
EFKE;KEM;KEMI/TORNIO;KEM;KEMI/TORNIO;FI;FINLAND;FI1A3
EFVR;VRK;VARKAUS;VRK;VARKAUS;FI;FINLAND;FI132
EFHF;HEM;HELSINKI-MALMI airport;HEM;HELSINKI;FI;FINLAND;FI181
EFVA;VAA;VAASA;VAA;VAASA;FI;FINLAND;FI195
EFKT;KTT;KITTILA;KTT;KITTILA;FI;FINLAND;FI1A3
EFJO;JOE;JOENSUU;JOE;JOENSUU;FI;FINLAND;FI133
EFMI;MIK;MIKKELI;MIK;MIKKELI;FI;FINLAND;FI131
EFKI;KAJ;KAJAANI;KAJ;KAJAANI;FI;FINLAND;FI134
EFET;ENF;ENONTEKIO;ENF;ENONTEKIO;FI;FINLAND;FI133
EFJY;JYV;JYVASKYLA;JYV;JYVASKYLA;FI;FINLAND;FI193
EFTU;TKU;TURKU;TKU;TURKU;FI;FINLAND;FI183
EFMA;MHQ;MARIEHAMN;MHQ;MARIEHAMN;FI;FINLAND;FI200
EFIV;IVL;IVALO;IVL;IVALO;FI;FINLAND;FI1A3
EFKA;KAU;KAUHAVA;KAU;KAUHAVA;FI;FINLAND;FI194
EFFO;QVE;FORSSA OFF-LINE POINT;QVE;FORSSA;FI;FINLAND;FI184
EFSI;SJY;SEINAJOKI;SJY;SEINAJOKI;FI;FINLAND;FI194
LFRO;LAI;LANNION;LAI;LANNION;FR;FRANCE;FR521
LFLX;CHR;CHATEAUROUX;CHR;CHATEAUROUX;FR;FRANCE;FR815
LFCE;XGT;GUERET OFF-LINE PT;XGT;GUERET;FR;FRANCE;FR524
LFSG;EPL;EPINAL;EPL;EPINAL;FR;FRANCE;FR433
LFBL;LIG;LIMOGES;LIG;LIMOGES;FR;FRANCE;FR633
LFOP;URO;ROUEN;URO;ROUEN;FR;FRANCE;FR232
LFPB;LBG;PARIS LE BOURGET APT;PAR;PARIS;FR;FRANCE;FR101
LFBY;XDA;DAX OFF-LINE PT;XDA;DAX;FR;FRANCE;FR613
LFBH;LRH;LA ROCHELLE;LRH;LA ROCHELLE;FR;FRANCE;FR433
LFRB;BES;BREST;BES;BREST;FR;FRANCE;FR522
LFSR;RHE;REIMS;RHE;REIMS;FR;FRANCE;FR213
LFAG;XSJ;ST QUENTIN OFF-LINE PT;XSJ;ST QUENTIN;FR;FRANCE;FR221
LFMH;EBU;ST ETIENNE;EBU;ST ETIENNE;FR;FRANCE;FR715
LFPO;ORY;PARIS ORLY APT;PAR;PARIS;FR;FRANCE;FR101
LFDS;XSL;SARLAT OFF-LINE PT;XSL;SARLAT;FR;FRANCE;FR611
LFRQ;UIP;QUIMPER;UIP;QUIMPER;FR;FRANCE;FR522
LFGJ;DLE;DOLE;DLE;DOLE;FR;FRANCE;FR432
LFRK;CFR;CAEN;CFR;CAEN;FR;FRANCE;FR251
LFSA;QBQ;BESANCON OFF-LINE POINT;QBQ;BESANCON;FR;FRANCE;FR431
LFMU;BZR;BEZIERS;BZR;BEZIERS;FR;FRANCE;FR822
LFAT;LTQ;LE TOUQUET;LTQ;LE TOUQUET;FR;FRANCE;FR302
LFST;SXB;STRASBOURG ENTZHEIM AIRPORT;SXB;STRASBOURG;FR;FRANCE;FR421
LFCK;DCM;CASTRES;DCM;CASTRES;FR;FRANCE;FR627
LFCI;LBI;ALBI;LBI;ALBI;FR;FRANCE;FR627
LFRM;LME;LE MANS ARNAGE AIRPORT;LME;LE MANS;FR;FRANCE;FR514
LFBD;BOD;BORDEAUX AIRPORT;BOD;BORDEAUX;FR;FRANCE;FR612
LFKJ;AJA;AJACCIO;AJA;AJACCIO;FR;FRANCE;FR831
LFOT;TUF;TOURS ST SYMPHORIEN AIRPORT;TUF;TOURS;FR;FRANCE;FR244
LFOE;EVX;EVREUX;EVX;EVREUX;FR;FRANCE;FR232
KORE;ORE;ORLEANS;ORE;ORLEANS;FR;FRANCE;FR246
LFAC;CQF;CALAIS MARCK APT;CQF;CALAIS;FR;FRANCE;FR302
LFLV;VHY;VICHY;VHY;VICHY;FR;FRANCE;FR721
LFTU;XSK;ST RAPHAEL OFF-LINE PT;XSK;ST RAPHAEL;FR;FRANCE;FR825
KCMR;CMR;COLMAR;CMR;COLMAR;FR;FRANCE;FR422
LFMD;CEQ;CANNES MANDELIEU;CEQ;CANNES;FR;FRANCE;FR823
KANE;ANE;ANGERS MARCE AIRPORT;ANE;ANGERS;FR;FRANCE;FR512
LFRH;LRT;LORIENT;LRT;LORIENT;FR;FRANCE;FR524
LFTW;FNI;NIMES;FNI;NIMES;FR;FRANCE;FR812
LFCR;RDZ;RODEZ;RDZ;RODEZ;FR;FRANCE;FR622
LFTH;XHE;HYERES OFF-LINE PT;XHE;HYERES;FR;FRANCE;FR223
LFQI;XCB;CAMBRAI OFF-LINE PT;XCB;CAMBRAI;FR;FRANCE;FR301
