ORY;A;FR;http://geonames.org/2988500 ;0.284438997168;Paris Orly Airport;Paris Orly Airport;en;Paris–Orly Airport=Paris Orly Airport|p
VIE;A;AT;http://geonames.org/2761335 ;0.283035589931;Vienna International Airport;Vienna International Airport;en;Vienna International Airport
ANC;A;US;http://geonames.org/5879378 ;0.280581824691;Anchorage International Airport;Anchorage International Airport;en;Ted Stevens Anchorage International Airport
MNL;A;PH;http://geonames.org/1701661 ;0.27726644678;Ninoy Aquino Manila International Airport;Ninoy Aquino Manila International Airport;en;Manila International Airport=Ninoy Aquino International Airport|p
DTW;A;US;http://geonames.org/4990742 ;0.273863779969;Detroit Metropolitan Wayne County Airport;Detroit Metropolitan Wayne County Airport;en;
YVR;A;CA;http://geonames.org/6301485 ;0.271589563911;Vancouver International Airport;Vancouver International Airport;en;Vancouver Airport=Vancouver International Airport|p
PVG;A;CN;http://geonames.org/6301386 ;0.269570370406;Shanghai Pudong International Airport;Shanghai Pudong International Airport;en;Shanghai Pudong International Airport|p
BRU;A;BE;http://geonames.org/6296486 ;0.265798770032;Bruxelles National;Bruxelles National;en;Brussels National Airport=Brussels Airport|p
MSP;A;US;http://geonames.org/5037658 ;0.262334126286;Minneapolis-St Paul International/Wold-Chamberlain Airport;Minneapolis-St Paul International/Wold-Chamberlain Airport;en;Minneapolis–Saint Paul International Airport
AUH;A;AE;http://geonames.org/6300092 ;0.262138816397;Abu Dhabi International Airport;Abu Dhabi International Airport;en;
DME;A;RU;http://geonames.org/6301015 ;0.259809535246;Domodedovo International Airport;Domodedovo International Airport;en;Domodedovo International Airport|p=Moscow Domodedovo Airport
IAD;A;US;http://geonames.org/4792325 ;0.258377702946;Washington Dulles International Airport;Washington Dulles International Airport;en;Washington Dulles International Airport
HEL;A;FI;http://geonames.org/6301511 ;0.256272332983;Helsinki-Vantaa Airport;Helsinki-Vantaa Airport;en;Helsinki-Vantaa Airport=Helsinki Airport|p
SHA;A;CN;http://geonames.org/6301388 ;0.249128239786;Shanghai Hongqiao International Airport;Shanghai Hongqiao International Airport;en;Shanghai Hongqiao International Airport
SAW;A;TR;http://geonames.org/6299773 ;0.24732818695;Sabiha Gökçen International Airport;Sabiha Goekcen International Airport;en;Sabiha Gökçen International Airport
LIM;A;PE;http://geonames.org/3937555 ;0.246978114183;Jorge Chávez International Airport;Jorge Chavez International Airport;en;
BNE;A;AU;http://geonames.org/6301292 ;0.24671305135;Brisbane Airport;Brisbane Airport;en;
ADD;A;ET;http://geonames.org/6297257 ;0.244497839511;Addis Ababa Bole International Airport;Addis Ababa Bole International Airport;en;Addis Ababa Airport=Bole International Airport=Addis Ababa Bole International Airport|p
OSL;A;NO;http://geonames.org/3156088 ;0.243650478393;Oslo Airport, Gardermoen;Oslo Airport, Gardermoen;en;Oslo Airport, Gardermoen
CPH;A;DK;http://geonames.org/2619034 ;0.241730251607;Copenhagen Airport;Copenhagen Airport;en;Kastrup Airport=Copenhagen Airport|p
SIN;A;SG;http://geonames.org/1880725 ;0.241314074394;Singapore Changi Airport;Singapore Changi Airport;en;Singapore Changi Airport|p=Changi International Airport=Changi Airport
BCN;A;ES;http://geonames.org/3115882 ;0.237781324419;Barcelona–El Prat Airport;Barcelona-El Prat Airport;en;Barcelona–El Prat Airport|p
YUL;A;CA;http://geonames.org/6296296 ;0.234607247596;Montréal-Pierre Elliott Trudeau International Airport;Montreal-Pierre Elliott Trudeau International Airport;en;Montréal–Pierre Elliott Trudeau International Airport=Montréal-Trudeau Airport|s
ARN;A;SE;http://geonames.org/2725346 ;0.23452750125;Stockholm Arlanda Airport;Stockholm Arlanda Airport;en;Stockholm-Arlanda Airport
WAW;A;PL;http://geonames.org/6296786 ;0.232617477057;Warsaw Chopin Airport;Warsaw Chopin Airport;en;Warsaw Chopin Airport|p=Warszawa-Okęcie Airport
MCO;A;US;http://geonames.org/4167162 ;0.232612127156;Orlando International Airport;Orlando International Airport;en;
GRU;A;BR;http://geonames.org/6300629 ;0.230911006726;São Paulo–Guarulhos International Airport;Sao Paulo-Guarulhos International Airport;en;São Paulo–Guarulhos International Airport|p=São Paulo/Guarulhos–Governador André Franco Montoro International Airport
ICN;A;KR;http://geonames.org/6300433 ;0.230627219461;Incheon International Airport;Incheon International Airport;en;Incheon International Airport|p
