iata_code;location_type;country_code;geoname_link;name;asciiname;lang_code;name_list
BHX;A;GB;http://geonames.org/6296572 ;0.161196882226;Birmingham Airport;Birmingham Airport;ar;مطار برمينغهام
BHX;C;GB;http://geonames.org/2655603 ;0.161196882226;Birmingham;Birmingham;ar;برمينغهام
BIA;A;FR;http://geonames.org/6299392 ;0.0188850497861;Bastia-Poretta;Bastia-Poretta;ar;
BIA;C;FR;http://geonames.org/3034640 ;0.0188850497861;Bastia;Bastia;ar;باستيا
BIO;A;ES;http://geonames.org/6299328 ;0.0420918160811;Bilbao Airport;Bilbao Airport;ar;
BIO;C;ES;http://geonames.org/3128026 ;0.0481694887052;Bilbao;Bilbao;ar;بلباو
BIQ;A;FR;http://geonames.org/6299382 ;0.0190139377093;Biarritz – Anglet – Bayonne Airport;Biarritz - Anglet - Bayonne Airport;ar;
BIQ;C;FR;http://geonames.org/3032797 ;0.0190139377093;Biarritz;Biarritz;ar;
BJL;A;GM;http://geonames.org/2411651 ;0.00875718523645;Banjul International Airport;Banjul International Airport;ar;
BJL;C;GM;http://geonames.org/2413876 ;0.00875718523645;Banjul;Banjul;ar;بانجول
BJS;C;CN;http://geonames.org/1816670 ;0.527321782166;Beijing;Beijing;ar;بكين
BKK;A;TH;http://geonames.org/6301137 ;0.316699356874;Suvarnabhumi Airport;Suvarnabhumi Airport;ar;مطار سوفارنابومي الدولي
BKK;C;TH;http://geonames.org/1609350 ;0.376845773287;Bangkok;Bangkok;ar;بانكوك
BKO;A;ML;http://geonames.org/6297167 ;0.0216633393995;Bamako–Sénou International Airport;Bamako-Senou International Airport;ar;
BKO;C;ML;http://geonames.org/2460596 ;0.0216633393995;Bamako;Bamako;ar;باماكو
BLQ;A;IT;http://geonames.org/6290247 ;0.0665213461041;Bologna Guglielmo Marconi Airport;Bologna Guglielmo Marconi Airport;ar;
BLQ;C;IT;http://geonames.org/3181928 ;0.0665213461041;Bologna;Bologna;ar;بولونيا
BLR;A;IN;http://geonames.org/7303386 ;0.14182736395;Kempegowda International Airport;Kempegowda International Airport;ar;
BLR;C;IN;http://geonames.org/1277333 ;0.14182736395;Bengaluru;Bengaluru;ar;بنغالور
BNE;A;AU;http://geonames.org/6301292 ;0.229571225892;Brisbane Airport;Brisbane Airport;ar;
BNE;C;AU;http://geonames.org/2174003 ;0.229571225892;Brisbane;Brisbane;ar;بريزبين
BOD;A;FR;http://geonames.org/6299367 ;0.0608951743849;Bordeaux–Mérignac Airport;Bordeaux-Merignac Airport;ar;
BOD;C;FR;http://geonames.org/3031582 ;0.0640764732878;Bordeaux;Bordeaux;ar;بوردو
BOM;A;IN;http://geonames.org/6301032 ;0.286872600398;Chhatrapati Shivaji International Airport;Chhatrapati Shivaji International Airport;ar;مطار تشاتراباتي شيفاجي الدولي
BOM;C;IN;http://geonames.org/1275339 ;0.286872600398;Mumbai;Mumbai;ar;مومباي
BOS;A;US;http://geonames.org/4937646 ;0.325504183038;Logan International Airport;Logan International Airport;ar;مطار لوجان الدولي
BOS;C;US;http://geonames.org/4930956 ;0.325504183038;Boston;Boston;ar;بوسطن
BRE;A;DE;http://geonames.org/3208171 ;0.0404681256909;Bremen Airport;Bremen Airport;ar;
BRE;C;DE;http://geonames.org/2944388 ;0.0404681256909;Bremen;Bremen;ar;بريمن=مدينة بريمن
BRI;A;IT;http://geonames.org/6299535 ;0.0329648303141;Bari "Karol Wojtyła" Airport;Bari "Karol Wojtyla" Airport;ar;
BRI;C;IT;http://geonames.org/3182351 ;0.0329648303141;Bari;Bari;ar;باري
BRS;A;GB;http://geonames.org/6296587 ;0.0929630915275;Bristol Airport;Bristol Airport;ar;مطار بريستول
BRS;C;GB;http://geonames.org/2654675 ;0.12665893626;Bristol;Bristol;ar;بريستول
BRU;A;BE;http://geonames.org/6296486 ;0.238989832395;Brussels Airport;Brussels Airport;ar;مطار بروكسل الدولي
BRU;C;BE;http://geonames.org/2800866 ;0.271684411398;Brussels;Brussels;ar;بروكسل
BTH;A;ID;http://geonames.org/6301230 ;0.0626938669082;Hang Nadim Airport;Hang Nadim Airport;ar;
BTH;C;ID;http://geonames.org/6295587 ;0.0626938669082;Batam;Batam;ar;باتام
BUD;A;HU;http://geonames.org/6299519 ;0.112769376034;Budapest Ferenc Liszt International Airport;Budapest Ferenc Liszt International Airport;ar;
BUD;C;HU;http://geonames.org/3054643 ;0.112769376034;Budapest;Budapest;ar;بودابست
BUH;C;RO;http://geonames.org/683506 ;0.115228354255;Bucharest;Bucharest;ar;بوخارست
BWN;A;BN;http://geonames.org/1820821 ;0.0280605294982;Brunei Airport;Brunei Airport;ar;
