ACP	ACP	Sahand Airport	Maragheh		IR	372116N	0460859E	0	A
ACR	ACR	Araracuara Airport	Araracuara		CO	003458S	0722428W	0	A
ACS	ACS	Achinsk Airport	Achinsk		RU	561600N	0903400E	6	A
ACT	ACT	Waco Regional Airport	Waco	TX	US	313628N	0971349W	2	A
ACU	ACU	Achutupo Airport	Achutupo		PA	093435N	0794328W	0	A
ACV	ACV	Arcata Airport	Arcata/Eureka	CA	US	405845N	1240627W	4	A
ACX	ACX	Xingyi Airport	Xingyi		CN	250508N	1045734E	0	A
ACY	AIY	Atlantic City International Airport	Atlantic City	NJ	US	392700N	0743500W	1	A
ACZ	ACZ	Zabol Airport	Zabol		IR	310509N	0613206E	0	A
ADA	ADA	Sakirpasa Airport	Adana		TR	365901N	0351651E	0	A
ADB	IZM	Adnan Menderes Airport	Izmir		TR	381700N	0270900E	0	A
ADC	ADC	Andakombe Airport	Andakombe		PG	070800S	1454400E	1	A
ADD	ADD	Bole International Airport	Addis Ababa		ET	085840N	0384753E	0	A
ADE	ADE	Aden International Airport	Aden		YE	124940N	0450150E	0	A
ADF	ADF	Adiyaman Airport	Adiyaman		TR	374500N	0381600E	0	A
ADG	ADG	Lenawee County Airport	Adrian	MI	US	415400N	0840200W	1	A
ADH	ADH	Aldan Airport	Aldan		RU	583600N	1252400E	8	A
ADI	ADI	Arandis Airport	Arandis		NA	222400S	0150000E	0	A
ADJ	AMM	Marka International Airport	Amman		JO	315700N	0355900E	0	A
ADK	ADK	Adak Island Airport	Adak Island	AK	US	515258N	1763841W	6	A
ADL	ADL	Adelaide International Airport	Adelaide	SA	AU	345654S	1383205E	3	A
ADM	ADM	Ardmore Municipal Airport	Ardmore	OK	US	341811N	0970110W	2	A
ADN	ADN	Andes Airport	Andes		CO	054000N	0755600W	0	A
ADO	ADO	Andamooka Airport	Andamooka	SA	AU	310100S	1370900E	3	A
ADP	ADP	Gal Oya Airport	Ampara		LK	072011N	0813731E	0	A
ADQ	ADQ	Kodiak Airport	Kodiak	AK	US	574515N	1522900W	5	A
ADR	ADR	Andrews Airport	Andrews	SC	US	332700N	0793400W	1	A
ADS	DFW	Dallas Addison Airport	Dallas/Fort Worth	TX	US	325703N	0965001W	2	A
ADT	ADT	Ada Municipal Airport	Ada	OK	US	344800N	0964000W	2	A
ADU	ADU	Ardabil Airport	Ardabil		IR	381925N	0482518E	0	A
ADV	ADV	Addeain Airport	Addeain		SD	112408N	0260707E	0	A
ADW	ADW	Andrews Air Force Base	Camp Springs	MD	US	384900N	0765200W	1	M
ADX	ADX	Leuchars RAF	St Andrews	SC	GB	562200N	0025200W	0	M
ADY	ADY	Alldays Airport	Alldays		ZA	224000S	0290300E	0	A
ADZ	ADZ	Gustavo R. Pinilla Int Airport	San Andres Island		CO	123500N	0814200W	0	A
AEA	AEA	Abemama Airport	Abemama		KI	002900N	1735100E	1	A
