Three-Letter City Code	City Name	State/Pro.	Country Code	Time Zone Code	STV	Three-Letter Airport Code	Airport Name	Numeric Code	Location Type	Type Name	Aggregated Name
AEX	Alexandria	LA	US	2		AEX	International		3	Airport	Alexandria International Airport
AEX	Alexandria	LA	US	2		AEX	Metropolitan Area		2	Metropolitan Area	Alexandria Metropolitan Area
AEX	Alexandria	LA	US	2		ESF	Esler Field	1460	3	Airport	Alexandria Esler Field Airport
AEY	Akureyri		IS			AEY		0069	3	Airport	Akureyri Airport
AFA	San Rafael	MD	AR			AFA		0070	3	Airport	San Rafael Airport
AFD	Port Alfred		ZA			AFD			3	Airport	Port Alfred Airport
AFI	Amalfi		CO			AFI		0071	3	Airport	Amalfi Airport
AFL	Alta Floresta	MT	BR	2		AFL			3	Airport	Alta Floresta Airport
AFN	Jaffrey	NH	US	1		AFN	Municipal		3	Airport	Jaffrey Municipal Airport
AFO	Afton	WY	US	3		AFO	Municipal	0072	3	Airport	Afton Municipal Airport
AFR	Afore		PG			AFR		0073	3	Airport	Afore Airport
AFS	Zarafshan		UZ			AFS			3	Airport	Zarafshan Airport
AFT	Afutara		SB			AFT			3	Airport	Afutara Airport
AFY	Afyon		TR			AFY		0074	3	Airport	Afyon Airport
AFZ	Sabzevar		IR			AFZ			3	Airport	Sabzevar Airport
AGA	Agadir		MA			AGA	Al Massira		3	Airport	Agadir Al Massira Airport
AGD	Anggi		ID	3		AGD			3	Airport	Anggi Airport
AGE	Wangerooge		DE			AGE		0076	3	Airport	Wangerooge Airport
AGF	Agen		FR			AGF	La Garenne	0077	3	Airport	Agen La Garenne Airport
AGG	Angoram		PG			AGG		0078	3	Airport	Angoram Airport
AGH	Angelholm/Helsingborg		SE			AGH	Airport	0079	3	Airport	Angelholm/Helsingborg Airport
AGH	Angelholm/Helsingborg		SE			AGH	Metropolitan Area		2	Metropolitan Area	Angelholm/Helsingborg Metropolitan Area
AGH	Angelholm/Helsingborg		SE			JHE	Heliport		6	Heliport	Angelholm/Helsingborg Heliport
AGH	Angelholm/Helsingborg		SE			XYH	Helsingborg C Rail Stn		5	Railway Station	Angelholm/Helsingborg Helsingborg C Rail Stn Railway Station
AGH	Angelholm/Helsingborg		SE			XYQ	Angelholm Railway Stn		5	Railway Station	Angelholm/Helsingborg Angelholm Railway Stn Railway Station
AGI	Wageningen		SR			AGI			3	Airport	Wageningen Airport
AGJ	Aguni		JP			AGJ		0080	3	Airport	Aguni Airport
AGK	Kagua		PG			AGK		0081	3	Airport	Kagua Airport
AGL	Wanigela		PG			AGL		0082	3	Airport	Wanigela Airport
AGM	Tasiilaq		GL	1		AGM	Ammassalik Heliport		6	Heliport	Tasiilaq Ammassalik Heliport
AGN	Angoon	AK	US	5		AGN		0084	3	Airport	Angoon Airport
AGO	Magnolia	AR	US	2		AGO	Municipal	0085	3	Airport	Magnolia Municipal Airport
AGP	Malaga		ES	1		AGP	Airport	0086	3	Airport	Malaga Airport
AGP	Malaga		ES	1		YJM	Railway Station		5	Railway Station	Malaga Railway Station
AGQ	Agrinion		GR			AGQ	G.Karaiskakis	0087	3	Airport	Agrinion G.Karaiskakis Airport
AGR	Agra		IN			AGR		0088	3	Airport	Agra Airport
AGS	Augusta	GA	US	1		AGS	Bush Field	0089	3	Airport	Augusta Bush Field Airport
AGS	Augusta	GA	US	1		AGS	Metropolitan Area		2	Metropolitan Area	Augusta Metropolitan Area
AGS	Augusta	GA	US	1		DNL	Daniel Field		3	Airport	Augusta Daniel Field Airport
AGT	Ciudad del Este		PY			AGT	Alejo Garcia		3	Airport	Ciudad del Este Alejo Garcia Airport
AGU	Aguascalientes		MX	1		AGU	Aguascalients	0091	3	Airport	Aguascalientes Aguascalients Airport
AGV	Acarigua		VE			AGV		0092	3	Airport	Acarigua Airport
AGW	Agnew	QL	AU	2	B	AGW		0093	3	Airport	Agnew Airport
AGX	Agatti Island		IN			AGX			3	Airport	Agatti Island Airport
AGZ	Aggeneys		ZA			AGZ		0096	3	Airport	Aggeneys Airport
AHB	Abha		SA			AHB		0097	3	Airport	Abha Airport
AHC	Herlong	CA	US	4		AHC	Amedee AAF		3	Airport	Herlong Amedee AAF Airport
AHE	Ahe		PF	2		AHE		0000	3	Airport	Ahe Airport
AHF	Arapahoe	NE	US	2		AHF	Municipal		3	Airport	Arapahoe Municipal Airport
AHH	Amery	WI	US	2		AHH	Municipal		3	Airport	Amery Municipal Airport
AHI	Amahai		ID	3		AHI		0099	3	Airport	Amahai Airport
AHJ	Aba/Hongyuan		CN			AHJ			3	Airport	Aba/Hongyuan Airport
AHL	Aishalton		GY			AHL		0100	3	Airport	Aishalton Airport
AHM	Ashland	OR	US	4		AHM	Sumner Parker Field		3	Airport	Ashland Sumner Parker Field Airport
AHN	Athens	GA	US	1		AHN		0101	3	Airport	Athens Airport
AHO	Alghero		IT			AHO	Fertilia	0102	3	Airport	Alghero Fertilia Airport
AHS	Ahuas		HN			AHS		0103	3	Airport	Ahuas Airport
AHT	Amchitka	AK	US	6		AHT		0104	3	Airport	Amchitka Airport
AHU	Al Hoceima		MA			AHU	Cherif El Idrissi		3	Airport	Al Hoceima Cherif El Idrissi Airport
AHW	Saih Rawl		OM			AHW			3	Airport	Saih Rawl Airport
AHY	Ambatolahy		MG			AHY		0106	3	Airport	Ambatolahy Airport
AHZ	L'Alpe-d'Huez		FR			AHZ		0107	3	Airport	L'Alpe-d'Huez Airport
AIA	Alliance	NE	US	3		AIA		0108	3	Airport	Alliance Airport
AIB	Anita Bay	AK	US	5		AIB			3	Airport	Anita Bay Airport
AIC	Airok		MH			AIC	Ailinglapalap		3	Airport	Airok Ailinglapalap Airport
AID	Anderson	IN	US	1		AID	Municipal		3	Airport	Anderson Municipal Airport
AIE	Aiome		PG			AIE		0109	3	Airport	Aiome Airport
AIF	Assis	SP	BR	1		AIF			3	Airport	Assis Airport
AIG	Yalinga		CF			AIG			3	Airport	Yalinga Airport
AIH	Aiambak		PG			AIH			3	Airport	Aiambak Airport
AII	Ali Sabieh		DJ			AII		0110	3	Airport	Ali Sabieh Airport
AIK	Aiken	SC	US	1		AIK	Municipal	0111	3	Airport	Aiken Municipal Airport
AIL	Ailigandi		PA			AIL			3	Airport	Ailigandi Airport
AIM	Ailuk Island		MH			AIM		0112	3	Airport	Ailuk Island Airport
AIN	Wainwright	AK	US	5		AIN		0113	3	Airport	Wainwright Airport
AIO	Atlantic	IA	US	2		AIO	Municipal	0114	3	Airport	Atlantic Municipal Airport
AIR	Aripuana	MT	BR	2		AIR			3	Airport	Aripuana Airport
AIS	Arorae		KI	1		AIS		0115	3	Airport	Arorae Airport
AIT	Aitutaki Island		CK			AIT		0116	3	Airport	Aitutaki Island Airport
AIU	Atiu Island		CK			AIU		0117	3	Airport	Atiu Island Airport
AIV	Aliceville	AL	US	2		AIV	George Downer		3	Airport	Aliceville George Downer Airport
AIW	Ai-Ais		NA			AIW			3	Airport	Ai-Ais Airport
AIY	Atlantic City	NJ	US	1		ACY	International	0047	3	Airport	Atlantic City International Airport
AIY	Atlantic City	NJ	US	1		AIY	Bader Field	0118	3	Airport	Atlantic City Bader Field Airport
AIY	Atlantic City	NJ	US	1		AIY	Metropolitan Area		2	Metropolitan Area	Atlantic City Metropolitan Area
AIY	Atlantic City	NJ	US	1		JSL	Steel Pier Heliport		6	Heliport	Atlantic City Steel Pier Heliport
AIY	Atlantic City	NJ	US	1		ZRA	Railway Station		5	Railway Station	Atlantic City Railway Station
AIZ	Kaiser/Lake Ozark	MO	US	2		AIZ	Lee C Fine Memorial	0119	3	Airport	Kaiser/Lake Ozark Lee C Fine Memorial Airport
AJA	Ajaccio		FR			AJA	Napoleon Bonaparte	0120	3	Airport	Ajaccio Napoleon Bonaparte Airport
AJF	Jouf		SA			AJF		0121	3	Airport	Jouf Airport
AJI	Agri		TR			AJI			3	Airport	Agri Airport
AJJ	Akjoujt		MR			AJJ		0122	3	Airport	Akjoujt Airport
AJK	Arak		IR			AJK	Araak		3	Airport	Arak Araak Airport
AJL	Aizawl		IN			AJL	Lengpui	0123	3	Airport	Aizawl Lengpui Airport
AJN	Anjouan		KM			AJN	Ouani	0124	3	Airport	Anjouan Ouani Airport
AJR	Arvidsjaur		SE			AJR			3	Airport	Arvidsjaur Airport
AJS	Abreojos		MX	3		AJS		0125	3	Airport	Abreojos Airport
AJU	Aracaju	SE	BR	1	A	AJU		0126	3	Airport	Aracaju Airport
AJY	Agadez		NE			AJY	Manu Dayak Intl	0127	3	Airport	Agadez Manu Dayak Intl Airport
AKA	Ankang		CN			AKA	Wulipu	0128	3	Airport	Ankang Wulipu Airport
AKB	Atka	AK	US	6		AKB			3	Airport	Atka Airport
AKD	Akola		IN			AKD			3	Airport	Akola Airport
AKE	Akieni		GA			AKE		0129	3	Airport	Akieni Airport
AKF	Kufra		LY			AKF		0130	3	Airport	Kufra Airport
AKG	Anguganak		PG			AKG			3	Airport	Anguganak Airport
AKH	Al Kharj		SA			AKH	Prince Sultan AB		3	Airport	Al Kharj Prince Sultan AB Airport
AKI	Akiak	AK	US	5		AKI		0131	3	Airport	Akiak Airport
AKJ	Asahikawa		JP			AKJ		0132	3	Airport	Asahikawa Airport
AKK	Akhiok	AK	US	5		AKK	Sea Plane Base	0133	3	Airport	Akhiok Sea Plane Base Airport
AKL	Auckland		NZ	1		AKL	International	0134	3	Airport	Auckland International Airport
AKL	Auckland		NZ	1		AKL	Metropolitan Area		2	Metropolitan Area	Auckland Metropolitan Area
AKL	Auckland		NZ	1		MHB	Mechanics Bay Heliport	3128	6	Heliport	Auckland Mechanics Bay Heliport
AKL	Auckland		NZ	1		XNZ	Ferry Port		7	Ferry Port	Auckland Ferry Port
